Código Capítulo;Capítulo Descripción;Exportaciones;Mes;NUM;Año
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";430797.1335;Abril;4;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";346455.9118;Mayo;5;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";362742.1071;Junio;6;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";474982.6545;Julio;7;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";328918.0223;Agosto;8;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";573957.8003;Septiembre;9;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";445898.649;Octubre;10;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";591977.3164;Noviembre;11;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";372389.1439;Diciembre;12;2022
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";310107.0362;Enero;1;2023
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";444865.293;Febrero;2;2023
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";567644.5414;Marzo;3;2023
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";363781.1056;Abril;4;2023
